FAIL Description,EC
SCAN_PCBA_SN,B04FWDL0001
Check_MES_Info,B04FWDL0002
Key_part_sn_unding,B04FWDL0003
Confirm_no_24VDC_to_GND_short,B04FWDL0004
Confirm_no_12VDC_to_GND_short,B04FWDL0005
Confirm_no_4.5VDC_to_GND_short,B04FWDL0006
DUT_Power_On_24V,B04FWDL0007
Measure_+4.5V_voltage,B04FWDL0008
Measure_VDDAO_1V8_voltage,B04FWDL0009
MEASURE_TP_RFA_VBAT,B04FWDL0010
MEASURE_TP_1.8V,B04FWDL0011
MEASURE_TP_AML_VDD1V8_AO_RTC,B04FWDL0012
MEASURE_TP_3.3V,B04FWDL0013
MEASURE_TP_VDDAO_3V3,B04FWDL0014
MEASURE_TP_VDD_EE,B04FWDL0015
MEASURE_TP_VDD_CPU,B04FWDL0016
MEASURE_TP_VDDQ,B04FWDL0017
MEASURE_TP_DDR4_2V5,B04FWDL0018
MEASURE_TP_RFA_VDDIO_1P8,B04FWDL0019
MEASURE_TP_SYS_RESET_N,B04FWDL0020
MEASURE_TP_THERM1,B04FWDL0021
MEASURE_TP_THERM2,B04FWDL0022
Identify_DUT_SN,B04FWDL0023
FWDL,B04FWDL0024
DUT_Power_Off,B04FWDL0025
Activated_load_discharge_24V,B04FWDL0026
Activated_load_discharge_12V,B04FWDL0027
Activated_load_discharge_4.5V,B04FWDL0028
Identify_DUT_ID,B04FWDL0029
Get_HSP_Version,B04FWDL0030
Prep_Mfg_Data_File,B04FWDL0031
Push_Diag_Pkg_to_DUT,B04FWDL0032
Get_Diag_Pkg_Version,B04FWDL0033
Write_ADB_SN,B04FWDL0034
Write_PCBA_SN,B04FWDL0035
Write_RFA_SN,B04FWDL0036
Write_station_Flag,B04FWDL0037
Read_station_Flag,B04FWDL0038
Key_Part_SN_Binding,B04FWDL0039
Update_MES_Info,B04FWDL0040
